clusters,0,1,2,3
0,4.942857142857143,3.6142857142857143,1.6428571428571428,0.2
1,6.481818181818183,2.977272727272727,5.295454545454546,2.1227272727272726
2,4.664285714285713,3.092857142857144,1.407142857142857,0.18571428571428578
3,5.178571428571429,3.5642857142857145,1.3928571428571428,0.34285714285714286
4,6.952941176470588,3.1235294117647054,5.264705882352942,1.6411764705882357
5,5.955555555555556,2.844444444444444,4.705555555555556,1.4055555555555557
6,5.242857142857143,3.6142857142857143,1.507142857142857,0.22857142857142865
7,5.883333333333333,3.0388888888888888,4.8999999999999995,1.838888888888889
8,6.783333333333334,2.608333333333334,5.233333333333333,1.6500000000000001
9,5.385714285714285,2.4071428571428575,3.5857142857142854,1.0785714285714285
